from	to	action	doi	primary
GH13_17	GH13	IS_A	CAZy	1
GH13_18	GH13	IS_A	CAZy	1
GH13_19	GH13	IS_A	CAZy	1
GH13_20	GH13	IS_A	CAZy	1
GH13_21	GH13	IS_A	CAZy	1
GH13_22	GH13	IS_A	CAZy	1
GH13_23	GH13	IS_A	CAZy	1
GH13_24	GH13	IS_A	CAZy	1
GH13_25	GH13	IS_A	CAZy	1
GH13_26	GH13	IS_A	CAZy	1
GH13_27	GH13	IS_A	CAZy	1
GH13_28	GH13	IS_A	CAZy	1
GH13_29	GH13	IS_A	CAZy	1
GH13_30	GH13	IS_A	CAZy	1
GH13_31	GH13	IS_A	CAZy	1
GH13_32	GH13	IS_A	CAZy	1
GH13_33	GH13	IS_A	CAZy	1
GH13_34	GH13	IS_A	CAZy	1
GH13_35	GH13	IS_A	CAZy	1
GH13_36	GH13	IS_A	CAZy	1
GH13_37	GH13	IS_A	CAZy	1
GH13_38	GH13	IS_A	CAZy	1
GH13_39	GH13	IS_A	CAZy	1
GH13_40	GH13	IS_A	CAZy	1
GH13_41	GH13	IS_A	CAZy	1
GH13_42	GH13	IS_A	CAZy	1
GH13_43	GH13	IS_A	CAZy	1
GH13_44	GH13	IS_A	CAZy	1
GH16_1	GH16	IS_A	CAZy	1
GH16_2	GH16	IS_A	CAZy	1
GH16_3	GH16	IS_A	CAZy	1
GH16_4	GH16	IS_A	CAZy	1
GH16_5	GH16	IS_A	CAZy	1
GH16_6	GH16	IS_A	CAZy	1
GH16_7	GH16	IS_A	CAZy	1
GH16_8	GH16	IS_A	CAZy	1
GH16_9	GH16	IS_A	CAZy	1
GH16_10	GH16	IS_A	CAZy	1
GH16_11	GH16	IS_A	CAZy	1
GH16_12	GH16	IS_A	CAZy	1
GH16_13	GH16	IS_A	CAZy	1
GH16_14	GH16	IS_A	CAZy	1
GH16_15	GH16	IS_A	CAZy	1
GH16_16	GH16	IS_A	CAZy	1
GH16_17	GH16	IS_A	CAZy	1
GH16_18	GH16	IS_A	CAZy	1
GH16_19	GH16	IS_A	CAZy	1
GH16_20	GH16	IS_A	CAZy	1
GH16_21	GH16	IS_A	CAZy	1
GH16_22	GH16	IS_A	CAZy	1
GH16_23	GH16	IS_A	CAZy	1
GH16_24	GH16	IS_A	CAZy	1
GH16_25	GH16	IS_A	CAZy	1
GH16_26	GH16	IS_A	CAZy	1
GH16_27	GH16	IS_A	CAZy	1
GH30_1	GH30	IS_A	CAZy	1
GH30_2	GH30	IS_A	CAZy	1
GH30_3	GH30	IS_A	CAZy	1
GH30_4	GH30	IS_A	CAZy	1
GH30_5	GH30	IS_A	CAZy	1
GH30_6	GH30	IS_A	CAZy	1
GH30_7	GH30	IS_A	CAZy	1
GH30_8	GH30	IS_A	CAZy	1
GH30_9	GH30	IS_A	CAZy	1
GH30_10	GH30	IS_A	CAZy	1
GH43_1	GH43	IS_A	CAZy	1
GH43_2	GH43	IS_A	CAZy	1
GH43_3	GH43	IS_A	CAZy	1
GH43_4	GH43	IS_A	CAZy	1
GH43_5	GH43	IS_A	CAZy	1
GH43_6	GH43	IS_A	CAZy	1
GH43_7	GH43	IS_A	CAZy	1
GH43_8	GH43	IS_A	CAZy	1
GH43_9	GH43	IS_A	CAZy	1
GH43_10	GH43	IS_A	CAZy	1
GH43_11	GH43	IS_A	CAZy	1
GH43_12	GH43	IS_A	CAZy	1
GH43_13	GH43	IS_A	CAZy	1
GH43_14	GH43	IS_A	CAZy	1
GH43_15	GH43	IS_A	CAZy	1
GH43_16	GH43	IS_A	CAZy	1
GH43_17	GH43	IS_A	CAZy	1
GH43_18	GH43	IS_A	CAZy	1
GH43_19	GH43	IS_A	CAZy	1
GH43_20	GH43	IS_A	CAZy	1
GH43_21	GH43	IS_A	CAZy	1
GH43_22	GH43	IS_A	CAZy	1
GH43_23	GH43	IS_A	CAZy	1
GH43_24	GH43	IS_A	CAZy	1
GH43_25	GH43	IS_A	CAZy	1
GH43_26	GH43	IS_A	CAZy	1
GH43_27	GH43	IS_A	CAZy	1
GH43_28	GH43	IS_A	CAZy	1
GH43_29	GH43	IS_A	CAZy	1
GH43_30	GH43	IS_A	CAZy	1
GH43_31	GH43	IS_A	CAZy	1
GH43_32	GH43	IS_A	CAZy	1
GH43_33	GH43	IS_A	CAZy	1
GH43_34	GH43	IS_A	CAZy	1
GH43_35	GH43	IS_A	CAZy	1
GH43_36	GH43	IS_A	CAZy	1
GH43_37	GH43	IS_A	CAZy	1
GH43_39	GH43	IS_A	CAZy	1
PL1_1	PL1	IS_A	CAZy	1
PL1_2	PL1	IS_A	CAZy	1
PL1_3	PL1	IS_A	CAZy	1
PL1_4	PL1	IS_A	CAZy	1
PL1_5	PL1	IS_A	CAZy	1
PL1_6	PL1	IS_A	CAZy	1
PL1_7	PL1	IS_A	CAZy	1
PL1_8	PL1	IS_A	CAZy	1
PL1_9	PL1	IS_A	CAZy	1
PL1_10	PL1	IS_A	CAZy	1
PL1_11	PL1	IS_A	CAZy	1
PL1_12	PL1	IS_A	CAZy	1
PL1_13	PL1	IS_A	CAZy	1
PL2_1	PL2	IS_A	CAZy	1
PL2_2	PL2	IS_A	CAZy	1
PL3_1	PL3	IS_A	CAZy	1
PL3_2	PL3	IS_A	CAZy	1
PL3_3	PL3	IS_A	CAZy	1
PL3_4	PL3	IS_A	CAZy	1
PL3_5	PL3	IS_A	CAZy	1
PL4_1	PL4	IS_A	CAZy	1
PL4_2	PL4	IS_A	CAZy	1
PL4_3	PL4	IS_A	CAZy	1
PL4_4	PL4	IS_A	CAZy	1
PL4_5	PL4	IS_A	CAZy	1
PL6_1	PL6	IS_A	CAZy	1
PL6_2	PL6	IS_A	CAZy	1
PL6_3	PL6	IS_A	CAZy	1
PL7_1	PL7	IS_A	CAZy	1
PL7_2	PL7	IS_A	CAZy	1
PL7_3	PL7	IS_A	CAZy	1
PL7_4	PL7	IS_A	CAZy	1
PL7_5	PL7	IS_A	CAZy	1
PL8_1	PL8	IS_A	CAZy	1
PL8_2	PL8	IS_A	CAZy	1
PL8_3	PL8	IS_A	CAZy	1
PL8_4	PL8	IS_A	CAZy	1
PL9_1	PL9	IS_A	CAZy	1
PL9_2	PL9	IS_A	CAZy	1
PL9_3	PL9	IS_A	CAZy	1
PL9_4	PL9	IS_A	CAZy	1
PL10_1	PL10	IS_A	CAZy	1
PL10_2	PL10	IS_A	CAZy	1
PL10_3	PL10	IS_A	CAZy	1
PL11_1	PL11	IS_A	CAZy	1
PL11_2	PL11	IS_A	CAZy	1
PL12_1	PL12	IS_A	CAZy	1
PL12_2	PL12	IS_A	CAZy	1
PL12_3	PL12	IS_A	CAZy	1
PL14_1	PL14	IS_A	CAZy	1
PL14_2	PL14	IS_A	CAZy	1
PL14_3	PL14	IS_A	CAZy	1
PL14_4	PL14	IS_A	CAZy	1
PL14_5	PL14	IS_A	CAZy	1
PL15_1	PL15	IS_A	CAZy	1
PL15_2	PL15	IS_A	CAZy	1
PL17_1	PL17	IS_A	CAZy	1
PL17_2	PL17	IS_A	CAZy	1
PL22_1	PL22	IS_A	CAZy	1
PL22_2	PL22	IS_A	CAZy	1
CBM1	cellulose	BINDS	CAZy	1
CBM1	chitin	BINDS	CAZy	1
CBM2	cellulose	BINDS	CAZy	1
CBM2	chitin	BINDS	CAZy	1
CBM2	xylans	BINDS	CAZy	1
CBM3	cellulose	BINDS	CAZy	1
CBM3	chitin	BINDS	CAZy	1
CBM4	xylans	BINDS	CAZy	1
CBM4	beta-1,3-glucan	BINDS	CAZy	1
CBM4	beta-1,3-1,4-glucan	BINDS	CAZy	1
CBM4	beta-1,6-glucan	BINDS	CAZy	1
CBM4	cellulose	BINDS	CAZy	1
CBM5	CBM12	RELATES	CAZy	1
CBM5	chitin	BINDS	CAZy	1
CBM6	cellulose	BINDS	CAZy	1
CBM6	beta-1,3-glucan	BINDS	CAZy	1
CBM6	beta-1,3-1,4-glucan	BINDS	CAZy	1
CBM6	beta-1,4-glucan	BINDS	CAZy	1
CBM8	cellulose	BINDS	CAZy	1
CBM9	cellulose	BINDS	CAZy	1
CBM9	xylans	BINDS	CAZy	1
CBM10	cellulose	BINDS	CAZy	1
CBM11	beta-1,4-glucan	BINDS	CAZy	1
CBM11	beta-1,3-1,4-mixed linked glucans	BINDS	CAZy	1
CBM12	chitin	BINDS	CAZy	1
CBM12	CBM5	RELATES	CAZy	1
CBM13	mannose	BINDS	CAZy	1
CBM13	xylans	BINDS	CAZy	1
CBM13	n-acetylgalactosamine	BINDS	CAZy	1
CBM14	chitin	BINDS	CAZy	1
CBM15	xylans	BINDS	CAZy	1
CBM15	xylooligosaccharides	BINDS	CAZy	1
CBM16	cellulose	BINDS	CAZy	1
CBM16	glucomannan	BINDS	CAZy	1
CBM17	cellulose	BINDS	CAZy	1
CBM17	cellooligosaccharides	BINDS	CAZy	1
CBM18	chitin	BINDS	CAZy	1
CBM19	chitin	BINDS	CAZy	1
CBM20	starch	BINDS	CAZy	1
CBM20	cyclodextrins	BINDS	CAZy	1
CBM21	starch	BINDS	CAZy	1
CBM22	xylans	BINDS	CAZy	1
CBM22	beta-1,3-glucan	BINDS	CAZy	1
CBM22	beta-1,4-glucan	BINDS	CAZy	1
CBM23	mannans	BINDS	CAZy	1
CBM7	cellulose	BINDS	CAZy	1
CBM24	alpha-1,3-glucan	BINDS	CAZy	1
CBM25	starch	BINDS	CAZy	1
CBM26	starch	BINDS	CAZy	1
CBM27	mannans	BINDS	CAZy	1
CBM28	non-crystalline cellulose	BINDS	CAZy	1
CBM28	cellooligosaccharides	BINDS	CAZy	1
CBM28	beta-1,3-1,4-glucan	BINDS	CAZy	1
CBM29	mannans	BINDS	CAZy	1
CBM29	glucomannan	BINDS	CAZy	1
CBM30	cellulose	BINDS	CAZy	1
CBM32	galactose	BINDS	CAZy	1
CBM32	lactose	BINDS	CAZy	1
CBM32	polygalacturonic acid	BINDS	CAZy	1
CBM33	AA10	IS_A	CAZy	1
CBM34	starch	BINDS	CAZy	1
CBM35	xylans	BINDS	CAZy	1
CBM35	beta-galactan	BINDS	CAZy	1
CBM36	CBM6	RELATES	CAZy	1
CBM36	xylans	BINDS	CAZy	1
CBM37	xylans	BINDS	CAZy	1
CBM37	chitin	BINDS	CAZy	1
CBM38	inulin	BINDS	CAZy	1
CBM39	GH16	COEXISTS	CAZy	1
CBM39	beta-1,3-glucan	BINDS	CAZy	1
CBM39	lipopolysaccharides	BINDS	CAZy	1
CBM39	lipoteichoic acid	BINDS	CAZy	1
CBM40	GH33	COEXISTS	CAZy	1
CBM41	alpha-glucans	BINDS	CAZy	1
CBM41	amylose	BINDS	CAZy	1
CBM41	amylopectin	BINDS	CAZy	1
CBM41	pullulan	BINDS	CAZy	1
CBM42	GH54	COEXISTS	CAZy	1
CBM42	arabinofuranose	BINDS	CAZy	1
CBM43	beta-1,3-glucan	BINDS	CAZy	1
CBM44	cellulose	BINDS	CAZy	1
CBM44	xyloglucan	BINDS	CAZy	1
CBM45	starch	BINDS	CAZy	1
CBM46	cellulose	BINDS	CAZy	1
CBM47	fucose	BINDS	CAZy	1
CBM48	glycogen	BINDS	CAZy	1
CBM48	GH13	COEXISTS	CAZy	1
CBM49	CBM2	RELATES	CAZy	1
CBM49	cellulose	BINDS	CAZy	1
CBM49	GH9	COEXISTS	CAZy	1
CBM50	chitin	BINDS	CAZy	1
CBM50	peptidoglycan	BINDS	CAZy	1
CBM50	GH18	COEXISTS	CAZy	1
CBM50	GH19	COEXISTS	CAZy	1
CBM50	GH23	COEXISTS	CAZy	1
CBM50	GH24	COEXISTS	CAZy	1
CBM50	GH25	COEXISTS	CAZy	1
CBM50	GH73	COEXISTS	CAZy	1
CBM51	GH2	COEXISTS	CAZy	1
CBM51	GH27	COEXISTS	CAZy	1
CBM51	GH31	COEXISTS	CAZy	1
CBM51	GH95	COEXISTS	CAZy	1
CBM51	GH98	COEXISTS	CAZy	1
CBM51	GH101	COEXISTS	CAZy	1
CBM51	galactose	BINDS	CAZy	1
CBM52	GH81	COEXISTS	CAZy	1
CBM52	beta-1,3-glucan	BINDS	CAZy	1
CBM53	starch	BINDS	CAZy	1
CBM54	xylan	BINDS	CAZy	1
CBM54	chitin	BINDS	CAZy	1
CBM55	chitin	BINDS	CAZy	1
CBM56	beta-1,3-glucan	BINDS	CAZy	1
CBM58	maltoheptaose	BINDS	CAZy	1
CBM59	mannans	BINDS	CAZy	1
CBM59	xylans	BINDS	CAZy	1
CBM59	cellulose	BINDS	CAZy	1
CBM60	CBM36	RELATES	CAZy	1
CBM60	xylans	BINDS	CAZy	1
CBM61	GH16	COEXISTS	CAZy	1
CBM61	GH30	COEXISTS	CAZy	1
CBM61	GH31	COEXISTS	CAZy	1
CBM61	GH43	COEXISTS	CAZy	1
CBM61	GH53	COEXISTS	CAZy	1
CBM61	GH66	COEXISTS	CAZy	1
CBM61	beta-1,4-galactan	BINDS	CAZy	1
CBM62	galactose	BINDS	CAZy	1
CBM62	xyloglucan	BINDS	CAZy	1
CBM62	arabinogalactan	BINDS	CAZy	1
CBM62	galactomannan	BINDS	CAZy	1
CBM63	cellulose	BINDS	CAZy	1
CBM64	cellulose	BINDS	CAZy	1
CBM65	xyloglucan	BINDS	CAZy	1
CBM66	fructans	BINDS	CAZy	1
CBM67	l-rhamnose	BINDS	CAZy	1
CBM68	maltotriose	BINDS	CAZy	1
CBM68	maltotetraose	BINDS	CAZy	1
CBM69	CBM20	RELATES	CAZy	1
CBM69	CBM48	RELATES	CAZy	1
CBM70	hyaluronic acid	BINDS	CAZy	1
CBM71	n-acetyl-lactosamine	BINDS	CAZy	1
CBM72	cellulose	BINDS	CAZy	1
CBM72	xylan	BINDS	CAZy	1
CBM73	chitin	BINDS	CAZy	1
CBM74	amylose	BINDS	CAZy	1
CBM74	GH13	COEXISTS	CAZy	1
CBM75	GH43_16	COEXISTS	CAZy	1
CBM75	xyloglucan	BINDS	CAZy	1
CBM76	GH44	COEXISTS	CAZy	1
CBM76	beta-glucans	BINDS	CAZy	1
CBM76	xyloglucan	BINDS	CAZy	1
CBM76	glucomannan	BINDS	CAZy	1
CBM77	pectins	BINDS	CAZy	1
CBM78	GH5	COEXISTS	CAZy	1
CBM78	GH26	COEXISTS	CAZy	1
CBM78	&beta;-1,4-glucans	BINDS	CAZy	1
CBM78	xyloglucan	BINDS	CAZy	1
CBM79	GH9	COEXISTS	CAZy	1
CBM79	beta-glucans	BINDS	CAZy	1
CBM80	GH5	COEXISTS	CAZy	1
CBM80	GH26	COEXISTS	CAZy	1
CBM80	glucomannan	BINDS	CAZy	1
CBM80	xyloglucan	BINDS	CAZy	1
CBM80	galactomannan	BINDS	CAZy	1
CBM81	xyloglucan	BINDS	CAZy	1
CBM81	GH5_2	COEXISTS	CAZy	1
CBM82	starch	BINDS	CAZy	1
CBM83	starch	BINDS	CAZy	1
CBM84	GH9	COEXISTS	CAZy	1
CBM84	xanthan	BINDS	CAZy	1
CBM87	galactosaminogalactan	BINDS	CAZy	1
CBM88	galactose	BINDS	CAZy	1
CBM90	PL24	COEXISTS	CAZy	1
CBM90	PL28	COEXISTS	CAZy	1
CBM90	ulvan	BINDS	CAZy	1
