cazy	test	extract
CBM13	Modules of approx. 150 residues which always appear as a threefold internal repeat. The only apparent exception to this, xylanase II of Actinomadura sp. FC7 (GenBank U08894), is in fact not completely sequenced. These modules were first identified in several plant lectins such as ricin or agglutinin of Ricinus communis which bind galactose residues. The three-dimensional structure of a plant lectin has been determined and displays a pseudo-threefold symmetry in accord with the observed sequence threefold repeat. These modules have since been found in a number of other proteins of various functions including glycoside hydrolases and glycosyltransferases. While in the plant lectins These modules binds mannose, binding to xylan has been demonstrated in the Streptomyces lividans xylanase A and arabinofuranosidase B. Binding to GalNAc has been shown for the corresponding module of GalNAc transferase 4. For the other proteins, the binding specificity of These modules has not been established. The pseudo three-fold symmetry of These modules has now been confirmed in the 3-D structure of the intact, two-domain, xylanase of Streptomyces olivaceoviridis.	CBM13|BINDS|Mannose
CBM13	Modules of approx. 150 residues which always appear as a threefold internal repeat. The only apparent exception to this, xylanase II of Actinomadura sp. FC7 (GenBank U08894), is in fact not completely sequenced. These modules were first identified in several plant lectins such as ricin or agglutinin of Ricinus communis which bind galactose residues. The three-dimensional structure of a plant lectin has been determined and displays a pseudo-threefold symmetry in accord with the observed sequence threefold repeat. These modules have since been found in a number of other proteins of various functions including glycoside hydrolases and glycosyltransferases. While in the plant lectins These modules binds mannose, binding to xylan has been demonstrated in the Streptomyces lividans xylanase A and arabinofuranosidase B. Binding to GalNAc has been shown for the corresponding module of GalNAc transferase 4. For the other proteins, the binding specificity of These modules has not been established. The pseudo three-fold symmetry of These modules has now been confirmed in the 3-D structure of the intact, two-domain, xylanase of Streptomyces olivaceoviridis.	CBM13|BINDS|Xylans
CBM13	Modules of approx. 150 residues which always appear as a threefold internal repeat. The only apparent exception to this, xylanase II of Actinomadura sp. FC7 (GenBank U08894), is in fact not completely sequenced. These modules were first identified in several plant lectins such as ricin or agglutinin of Ricinus communis which bind galactose residues. The three-dimensional structure of a plant lectin has been determined and displays a pseudo-threefold symmetry in accord with the observed sequence threefold repeat. These modules have since been found in a number of other proteins of various functions including glycoside hydrolases and glycosyltransferases. While in the plant lectins These modules binds mannose, binding to xylan has been demonstrated in the Streptomyces lividans xylanase A and arabinofuranosidase B. Binding to GalNAc has been shown for the corresponding module of GalNAc transferase 4. For the other proteins, the binding specificity of These modules has not been established. The pseudo three-fold symmetry of These modules has now been confirmed in the 3-D structure of the intact, two-domain, xylanase of Streptomyces olivaceoviridis.	CBM13|BINDS|N-Acetylgalactosamine
CBM14	Modules of approx. 70 residues. The chitin-binding function has been demonstrated in several cases. These modules are found attached to a number of chitinase catalytic domains, but also in non-catalytic proteins either in isolation or as multiple repeats; chitin binding (EC IIa.chitin)	CBM14|BINDS|Chitin
CBM15	Binding to xylan and xylooligosaccharides has been demonstrated in the case of Xyn10C of Cellvibrio mixtus.	CBM15|BINDS|Xylans
CBM15	Binding to xylan and xylooligosaccharides has been demonstrated in the case of Xyn10C of Cellvibrio mixtus.	CBM15|BINDS|xylooligosaccharides
CBM16	Carbohydrate-binding module 16. Binding to cellulose and glucomannan demonstrated [B. Bae et al (2008) J Biol Chem. 283:12415-25 (PMID: 18025086)]	CBM16|BINDS|Cellulose
CBM16	Carbohydrate-binding module 16. Binding to cellulose and glucomannan demonstrated [B. Bae et al (2008) J Biol Chem. 283:12415-25 (PMID: 18025086)]	CBM16|BINDS|Glucomannan
CBM17	Modules of approx. 200 residues. Binding to amorphous cellulose, cellooligosaccharides and derivatized cellulose has been demonstrated.	CBM17|BINDS|Cellulose
CBM17	Modules of approx. 200 residues. Binding to amorphous cellulose, cellooligosaccharides and derivatized cellulose has been demonstrated.	CBM17|BINDS|cellooligosaccharides
CBM18	Modules of approx. 40 residues. The chitin-binding function has been demonstrated in many cases. These modules are found attached to a number of chitinase catalytic domains, but also in non-catalytic proteins either in isolation or as multiple repeats.	CBM18|BINDS|Chitin
CBM19	Modules of 60-70 residues with chitin-binding function.	CBM19|BINDS|Chitin
CBM20	The granular starch-binding function has been demonstrated in several cases. Interact strongly with cyclodextrins. Often designated as starch-binding domains (SBD).	CBM20|BINDS|Starch
CBM20	The granular starch-binding function has been demonstrated in several cases. Interact strongly with cyclodextrins. Often designated as starch-binding domains (SBD).	CBM20|BINDS|Cyclodextrins
CBM21	Modules of approx. 100 residues. The granular starch-binding function has been demonstrated in one case. Sometimes designated as starch-binding domains (SBD).	CBM21|BINDS|Starch
CBM22	A xylan binding function has been demonstrated in several cases and affinity with mixed &beta;-1,3/&beta;-1,4-glucans in one. In several cases a thermostabilizing effect has also been seen.	CBM22|BINDS|Xylans
CBM22	A xylan binding function has been demonstrated in several cases and affinity with mixed &beta;-1,3/&beta;-1,4-glucans in one. In several cases a thermostabilizing effect has also been seen.	CBM22|BINDS|beta-1,3-glucan
CBM22	A xylan binding function has been demonstrated in several cases and affinity with mixed &beta;-1,3/&beta;-1,4-glucans in one. In several cases a thermostabilizing effect has also been seen.	CBM22|BINDS|beta-1,4-glucan
CBM23	Mannan-binding function demonstrated in one case.	CBM23|BINDS|Mannans
CBM7	Deleted entry	CBM7|BINDS|Cellulose
CBM24	&alpha;-1,3-glucan (mutan)-binding function demonstrated in two cases (PMID:10636904)	CBM24|BINDS|alpha-1,3-glucan
CBM25	Starch-binding function demonstrated in one case.	CBM25|BINDS|Starch
CBM26	Starch-binding function demonstrated in two cases.	CBM26|BINDS|Starch
CBM27	Mannan-binding function demonstrated in two cases	CBM27|BINDS|Mannans
CBM28	The module from the endo-1,4-glucanase of Bacillus sp. 1139 binds to non-crystalline cellulose, cellooligosaccharides, and &beta;-(1,3)(1,4)-glucans	CBM28|BINDS|non-crystalline cellulose
CBM28	The module from the endo-1,4-glucanase of Bacillus sp. 1139 binds to non-crystalline cellulose, cellooligosaccharides, and &beta;-(1,3)(1,4)-glucans	CBM28|BINDS|cellooligosaccharides
CBM28	The module from the endo-1,4-glucanase of Bacillus sp. 1139 binds to non-crystalline cellulose, cellooligosaccharides, and &beta;-(1,3)(1,4)-glucans	CBM28|BINDS|beta-1,3-1,4-glucan
CBM29	Binding to mannan/glucomannan has been demonstrated.	CBM29|BINDS|Mannans
CBM29	Binding to mannan/glucomannan has been demonstrated.	CBM29|BINDS|Glucomannan
CBM30	Binding to cellulose has been demonstrated for the N-terminal module of Fibrobacter succinogenes CelF.	CBM30|BINDS|Cellulose
CBM32	Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (&beta;-D-galactosyl-1,4-&beta;-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278).	CBM32|BINDS|Galactose
CBM32	Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (&beta;-D-galactosyl-1,4-&beta;-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278).	CBM32|BINDS|Lactose
CBM32	Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (&beta;-D-galactosyl-1,4-&beta;-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278).	CBM32|BINDS|polygalacturonic acid
CBM33	Copper-dependent lytic polysaccharide monooxygenases now reclassified in family AA10	CBM33|IS_A|AA10
CBM34	Modules of approx. 120 residues. Granular starch-binding function has been demonstrated in the case of Thermoactinomyces vulgaris R-47 &alpha;-amylase 1 (TVAI).	CBM34|BINDS|Starch
CBM35	Modules of approx. 130 residues. A module that is conserved in three Cellvibrio xylan-degrading enzymes binds to xylan and the interaction is calcium dependent, while a module from a Cellvibrio mannanase binds to decorated soluble mannans and mannooligosaccharides. A module in a Phanerochaete chrysosporium galactan 1,3-&beta;-galactosidase binds to &beta;-galactan.	CBM35|BINDS|Xylans
CBM35	Modules of approx. 130 residues. A module that is conserved in three Cellvibrio xylan-degrading enzymes binds to xylan and the interaction is calcium dependent, while a module from a Cellvibrio mannanase binds to decorated soluble mannans and mannooligosaccharides. A module in a Phanerochaete chrysosporium galactan 1,3-&beta;-galactosidase binds to &beta;-galactan.	CBM35|BINDS|beta-galactan
CBM36	Modules of approx. 120-130 residues displaying structural similarities to CBM6 modules. The only CBM36 currently characterised, that from Paenbacillus polymyxa xylanase 43A, shows calcium-dependent binding of xylans and xylooligosaccharides. X-ray crystallography shows that there is a direct interaction between calcium and ligand.	CBM36|RELATES|CBM6
CBM36	Modules of approx. 120-130 residues displaying structural similarities to CBM6 modules. The only CBM36 currently characterised, that from Paenbacillus polymyxa xylanase 43A, shows calcium-dependent binding of xylans and xylooligosaccharides. X-ray crystallography shows that there is a direct interaction between calcium and ligand.	CBM36|BINDS|Xylans
CBM37	Modules of approx. 100 residues, conserved in numerous R. albus polysaccharide-degrading enzymes and other proteins from this bacterium. Several members of CBM37 have been shown to exhibit rather broad binding specificity to xylan, chitin, microcrystalline and phosphoric-acid swollen cellulose, as well as more heterogeneous substrates, such as alfalfa cell walls, banana stem and wheat straw.	CBM37|BINDS|Xylans
CBM37	Modules of approx. 100 residues, conserved in numerous R. albus polysaccharide-degrading enzymes and other proteins from this bacterium. Several members of CBM37 have been shown to exhibit rather broad binding specificity to xylan, chitin, microcrystalline and phosphoric-acid swollen cellulose, as well as more heterogeneous substrates, such as alfalfa cell walls, banana stem and wheat straw.	CBM37|BINDS|Chitin
CBM38	The inulin-binding function has been demonstrated in the case of the cycloinulo-oligosaccharide fructanotransferase from Paenibacillus macerans (Bacillus macerans) by Lee et al. (2004) FEMS Microbiol Lett 234:105-10. (PMID:15109727).	CBM38|BINDS|Inulin
CBM39	Modules generally found at the N-terminus of a GH16 module (a GH16 module (itself frequently lacking a catalytic machinery frequently lacking a catalytic machinery) and more seldomly in isolation. The &beta;-1,3-glucan binding function has been demonstrated, along with binding to lipopolysaccharide and lipoteichoic acid.	CBM39|COEXISTS|GH16
CBM39	Modules generally found at the N-terminus of a GH16 module (a GH16 module (itself frequently lacking a catalytic machinery frequently lacking a catalytic machinery) and more seldomly in isolation. The &beta;-1,3-glucan binding function has been demonstrated, along with binding to lipopolysaccharide and lipoteichoic acid.	CBM39|BINDS|beta-1,3-glucan
CBM39	Modules generally found at the N-terminus of a GH16 module (a GH16 module (itself frequently lacking a catalytic machinery frequently lacking a catalytic machinery) and more seldomly in isolation. The &beta;-1,3-glucan binding function has been demonstrated, along with binding to lipopolysaccharide and lipoteichoic acid.	CBM39|BINDS|Lipopolysaccharides
CBM39	Modules generally found at the N-terminus of a GH16 module (a GH16 module (itself frequently lacking a catalytic machinery frequently lacking a catalytic machinery) and more seldomly in isolation. The &beta;-1,3-glucan binding function has been demonstrated, along with binding to lipopolysaccharide and lipoteichoic acid.	CBM39|BINDS|lipoteichoic acid
CBM40	Modules of approx. 200 residues, found at the N-terminus of GH33 sialidases. Can also be found inserted in the &beta;-propeller of GH33 sialidases. The sialic acid binding function has been demonstrated for the N-terminal CBM40 of Vibrio cholerae sialidase (Moustafa et al. (2004) J Biol Chem 279:40819-26) (PMID: 15226294).	CBM40|COEXISTS|GH33
CBM41	Modules of approx. 100 residues found in primarily in bacterial pullulanases. The N-terminal module from Thermotoga maritima Pul13 has been shown to bind to the &alpha;-glucans amylose, amylopectin, pullulan, and oligosaccharide fragments derived from these polysaccharides (Lammerts van Bueren et al. (2004) Biochemistry 43:15633-42) (PMID: 15581376).	CBM41|BINDS|alpha-glucans
CBM41	Modules of approx. 100 residues found in primarily in bacterial pullulanases. The N-terminal module from Thermotoga maritima Pul13 has been shown to bind to the &alpha;-glucans amylose, amylopectin, pullulan, and oligosaccharide fragments derived from these polysaccharides (Lammerts van Bueren et al. (2004) Biochemistry 43:15633-42) (PMID: 15581376).	CBM41|BINDS|amylose
CBM41	Modules of approx. 100 residues found in primarily in bacterial pullulanases. The N-terminal module from Thermotoga maritima Pul13 has been shown to bind to the &alpha;-glucans amylose, amylopectin, pullulan, and oligosaccharide fragments derived from these polysaccharides (Lammerts van Bueren et al. (2004) Biochemistry 43:15633-42) (PMID: 15581376).	CBM41|BINDS|amylopectin
CBM41	Modules of approx. 100 residues found in primarily in bacterial pullulanases. The N-terminal module from Thermotoga maritima Pul13 has been shown to bind to the &alpha;-glucans amylose, amylopectin, pullulan, and oligosaccharide fragments derived from these polysaccharides (Lammerts van Bueren et al. (2004) Biochemistry 43:15633-42) (PMID: 15581376).	CBM41|BINDS|pullulan
CBM42	Modules of approx. 160 residues found mostly at the C-terminus of GH54 catalytic domains. Binding to arabinofuranose (present in arabinoxylan) has been demonstrated.	CBM42|COEXISTS|GH54
CBM42	Modules of approx. 160 residues found mostly at the C-terminus of GH54 catalytic domains. Binding to arabinofuranose (present in arabinoxylan) has been demonstrated.	CBM42|BINDS|arabinofuranose
CBM43	Modules of approx. 90-100 residues found at the C-terminus of GH17 or GH72 enzymatic modules and also sometimes isolated. CBM43 modules sometimes carry a C-terminal membrane anchor. The &beta;-1,3-glucan binding function has been demonstrated with the olive pollen protein Ole e 10.	CBM43|BINDS|beta-1,3-glucan
CBM44	The C-terminal CBM44 module of the Clostridium thermocellum enzyme has been demonstrated to bind equally well cellulose and xyloglucan	CBM44|BINDS|Cellulose
CBM44	The C-terminal CBM44 module of the Clostridium thermocellum enzyme has been demonstrated to bind equally well cellulose and xyloglucan	CBM44|BINDS|Xyloglucan
CBM45	Modules of approx. 100 residues, found at the N-terminus of plastidial &alpha;-amylases and of &alpha;-glucan, water dikinases. Starch-binding activity demonstrated in the case of potato &alpha;-glucan, water dikinase.	CBM45|BINDS|Starch
CBM46	Modules of approx. 100 residues, found at the C-terminus of several GH5 cellulases. Cellulose-binding function demonstrated in one case.	CBM46|BINDS|Cellulose
CBM47	Modules of approx 150 residues. Fucose-binding activity demonstrated	CBM47|BINDS|Fucose
CBM48	Modules of approx. 100 residues with glycogen-binding function, appended to GH13 modules. Also found in the beta subunit (glycogen-binding) of AMP-activated protein kinases (AMPK)	CBM48|BINDS|Glycogen
CBM48	Modules of approx. 100 residues with glycogen-binding function, appended to GH13 modules. Also found in the beta subunit (glycogen-binding) of AMP-activated protein kinases (AMPK)	CBM48|COEXISTS|GH13
CBM49	Modules of approx. 100 residues found at the C-terminus of plant GH9 enzymes. Distantly related to CBM2 modules. Binding to crystalline cellulose demonstrated in the case of Solanum lycopersicum Cel8 enzyme (SlCel9C1).	CBM49|RELATES|CBM2
CBM49	Modules of approx. 100 residues found at the C-terminus of plant GH9 enzymes. Distantly related to CBM2 modules. Binding to crystalline cellulose demonstrated in the case of Solanum lycopersicum Cel8 enzyme (SlCel9C1).	CBM49|BINDS|Cellulose
CBM49	Modules of approx. 100 residues found at the C-terminus of plant GH9 enzymes. Distantly related to CBM2 modules. Binding to crystalline cellulose demonstrated in the case of Solanum lycopersicum Cel8 enzyme (SlCel9C1).	CBM49|COEXISTS|GH9
CBM50	Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases are not reported in the list below.	CBM50|BINDS|Chitin
CBM50	Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases are not reported in the list below.	CBM50|BINDS|Peptidoglycan
CBM50	Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases are not reported in the list below.	CBM50|COEXISTS|GH18
CBM50	Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases are not reported in the list below.	CBM50|COEXISTS|GH19
CBM50	Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases are not reported in the list below.	CBM50|COEXISTS|GH23
CBM50	Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases are not reported in the list below.	CBM50|COEXISTS|GH24
CBM50	Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases are not reported in the list below.	CBM50|COEXISTS|GH25
CBM50	Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases are not reported in the list below.	CBM50|COEXISTS|GH73
CBM51	Modules of approx. 150 residues found attached to various enzymes from families GH2, GH27, GH31, GH95, GH98 and GH101 . Binding to galactose and to blood group A/B-antigens demonstrated in the case of C. perfringens GH95CBM51 and GH98CBM51 respectively [Gregg KJ et al. (2008) J. Biol. Chem. 283:12604-13 PMID: 18292090].	CBM51|COEXISTS|GH2
CBM51	Modules of approx. 150 residues found attached to various enzymes from families GH2, GH27, GH31, GH95, GH98 and GH101 . Binding to galactose and to blood group A/B-antigens demonstrated in the case of C. perfringens GH95CBM51 and GH98CBM51 respectively [Gregg KJ et al. (2008) J. Biol. Chem. 283:12604-13 PMID: 18292090].	CBM51|COEXISTS|GH27
CBM51	Modules of approx. 150 residues found attached to various enzymes from families GH2, GH27, GH31, GH95, GH98 and GH101 . Binding to galactose and to blood group A/B-antigens demonstrated in the case of C. perfringens GH95CBM51 and GH98CBM51 respectively [Gregg KJ et al. (2008) J. Biol. Chem. 283:12604-13 PMID: 18292090].	CBM51|COEXISTS|GH31
CBM51	Modules of approx. 150 residues found attached to various enzymes from families GH2, GH27, GH31, GH95, GH98 and GH101 . Binding to galactose and to blood group A/B-antigens demonstrated in the case of C. perfringens GH95CBM51 and GH98CBM51 respectively [Gregg KJ et al. (2008) J. Biol. Chem. 283:12604-13 PMID: 18292090].	CBM51|COEXISTS|GH95
CBM51	Modules of approx. 150 residues found attached to various enzymes from families GH2, GH27, GH31, GH95, GH98 and GH101 . Binding to galactose and to blood group A/B-antigens demonstrated in the case of C. perfringens GH95CBM51 and GH98CBM51 respectively [Gregg KJ et al. (2008) J. Biol. Chem. 283:12604-13 PMID: 18292090].	CBM51|COEXISTS|GH98
CBM51	Modules of approx. 150 residues found attached to various enzymes from families GH2, GH27, GH31, GH95, GH98 and GH101 . Binding to galactose and to blood group A/B-antigens demonstrated in the case of C. perfringens GH95CBM51 and GH98CBM51 respectively [Gregg KJ et al. (2008) J. Biol. Chem. 283:12604-13 PMID: 18292090].	CBM51|COEXISTS|GH101
CBM51	Modules of approx. 150 residues found attached to various enzymes from families GH2, GH27, GH31, GH95, GH98 and GH101 . Binding to galactose and to blood group A/B-antigens demonstrated in the case of C. perfringens GH95CBM51 and GH98CBM51 respectively [Gregg KJ et al. (2008) J. Biol. Chem. 283:12604-13 PMID: 18292090].	CBM51|BINDS|Galactose 
CBM52	Modules of approx. 60 residues attached to a few GH81 enzymes but present in other proteins. Binding to &beta;-1,3-glucan demonstrated for Schizosaccharomyces pombe 972h- endo-1,3-&beta;-glucanase Eng1 [Martin-Quadrado et al., Mol. Microbiol. (2008) 69:188-200 PMID:18466295]	CBM52|COEXISTS|GH81
CBM52	Modules of approx. 60 residues attached to a few GH81 enzymes but present in other proteins. Binding to &beta;-1,3-glucan demonstrated for Schizosaccharomyces pombe 972h- endo-1,3-&beta;-glucanase Eng1 [Martin-Quadrado et al., Mol. Microbiol. (2008) 69:188-200 PMID:18466295]	CBM52|BINDS|beta-1,3-glucan
CBM53	Starch-binding function demonstrated by Valdez et al. (2008) [PMID: 18260645]	CBM53|BINDS|Starch
